Features,Model,Forecasting window,RMSE,MAPE,MAE
(Lag Only),XGBoost,33,226.52,0.13,200.95
(Lag Only),XGBoost,34,111.28,0.08,109.9
(Lag Only),XGBoost,35,304.1,0.18,291.62
(Lag Only),XGBoost,36,531.36,0.23,479.57
(Lag Only),XGBoost,37,345.92,0.14,320.73
(Lag Only),XGBoost,38,902.36,0.18,642.99
(Lag Only),XGBoost,39,745.77,0.2,614.64
(Lag Only),XGBoost,40,493.47,0.09,357.65
(Lag Only),XGBoost,41,834.31,0.15,650.58
(Lag Only),XGBoost,42,2269.55,0.29,1873.31
(Lag Only),XGBoost,43,2128.46,0.31,1816.42
(Lag Only),XGBoost,44,992.25,0.12,768.74
(Lag Only),XGBoost,45,2567.02,0.2,1819.06
(Lag Only),XGBoost,46,9680.91,0.38,6990.99
(Lag Only),XGBoost,47,9090.7,0.78,5973.39
(Lag Only),XGBoost,48,1491.4,0.22,1481.25
(Lag Only),XGBoost,49,1878.82,0.15,1745.89
(Lag Only),XGBoost,50,6430.83,0.23,5232.95
(Lag Only),XGBoost,51,6618.54,0.55,4624.05
(Lag Only),XGBoost,52,2879.89,0.2,2605.0
(Lag Only),XGBoost,53,2368.7,0.14,2027.03
(Lag Only),XGBoost,54,900.43,0.04,751.3
(Lag Only),XGBoost,55,5521.37,0.28,4750.72
(Lag Only),XGBoost,56,1209.43,0.06,1081.44
(Lag Only),XGBoost,57,2156.19,0.13,2111.56
(Lag Only),XGBoost,58,4521.24,0.21,3899.95
(Lag Only),XGBoost,59,4641.77,0.13,2938.07
(Lag Only),XGBoost,60,2784.31,0.11,2372.45
(Lag Only),XGBoost,61,3760.57,0.11,2985.93
(Lag Only),XGBoost,62,2782.02,0.11,2486.99
(Lag Only),XGBoost,63,2795.4,0.09,2278.02
(Lag Only),XGBoost,64,2128.14,0.06,1735.74
(Lag Only),XGBoost,65,2651.32,0.06,1627.46
(Lag Only),XGBoost,66,12526.15,0.32,11443.09
(Lag Only),ARIMA (Lag Only),1,199.65,0.62,178.68
(Lag Only),ARIMA (Lag Only),2,81.98,0.32,78.2
(Lag Only),ARIMA (Lag Only),3,68.2,0.25,61.33
(Lag Only),ARIMA (Lag Only),4,185.05,0.38,179.96
(Lag Only),ARIMA (Lag Only),5,84.64,0.15,72.75
(Lag Only),ARIMA (Lag Only),6,136.62,0.35,112.06
(Lag Only),ARIMA (Lag Only),7,142.24,0.24,104.71
(Lag Only),ARIMA (Lag Only),8,213.7,0.28,207.14
(Lag Only),ARIMA (Lag Only),9,249.78,0.38,242.0
(Lag Only),ARIMA (Lag Only),10,186.66,0.6,168.41
(Lag Only),ARIMA (Lag Only),11,323.67,0.54,287.02
(Lag Only),ARIMA (Lag Only),12,237.62,0.23,212.41
(Lag Only),ARIMA (Lag Only),13,97.91,0.1,68.75
(Lag Only),ARIMA (Lag Only),14,160.84,0.23,150.74
(Lag Only),ARIMA (Lag Only),15,330.58,0.28,240.48
(Lag Only),ARIMA (Lag Only),16,60.04,0.06,57.29
(Lag Only),ARIMA (Lag Only),17,234.52,0.28,210.0
(Lag Only),ARIMA (Lag Only),18,123.64,0.21,108.31
(Lag Only),ARIMA (Lag Only),19,89.76,0.12,70.01
(Lag Only),ARIMA (Lag Only),20,266.35,0.3,256.17
(Lag Only),ARIMA (Lag Only),21,62.24,0.05,43.29
(Lag Only),ARIMA (Lag Only),22,452.81,0.32,384.97
(Lag Only),ARIMA (Lag Only),23,983.54,1.54,945.03
(Lag Only),ARIMA (Lag Only),24,301.37,0.17,245.72
(Lag Only),ARIMA (Lag Only),25,175.84,0.13,173.9
(Lag Only),ARIMA (Lag Only),26,418.85,0.3,407.33
(Lag Only),ARIMA (Lag Only),27,744.51,0.63,684.67
(Lag Only),ARIMA (Lag Only),28,195.83,0.14,195.61
(Lag Only),ARIMA (Lag Only),29,217.82,0.14,184.15
(Lag Only),ARIMA (Lag Only),30,256.96,0.19,209.73
(Lag Only),ARIMA (Lag Only),31,418.03,0.32,382.68
(Lag Only),ARIMA (Lag Only),32,161.97,0.1,149.12
(Lag Only),ARIMA (Lag Only),33,325.5,0.23,316.17
(Lag Only),ARIMA (Lag Only),34,376.35,0.25,326.86
(Lag Only),ARIMA (Lag Only),35,423.58,0.26,409.76
(Lag Only),ARIMA (Lag Only),36,396.54,0.18,337.61
(Lag Only),ARIMA (Lag Only),37,290.98,0.13,288.21
(Lag Only),ARIMA (Lag Only),38,968.57,0.22,721.99
(Lag Only),ARIMA (Lag Only),39,1137.46,0.37,1072.7
(Lag Only),ARIMA (Lag Only),40,622.5,0.15,541.16
(Lag Only),ARIMA (Lag Only),41,657.4,0.16,609.96
(Lag Only),ARIMA (Lag Only),42,1845.0,0.23,1445.1
(Lag Only),ARIMA (Lag Only),43,3480.1,0.66,3349.26
(Lag Only),ARIMA (Lag Only),44,1403.48,0.21,1126.58
(Lag Only),ARIMA (Lag Only),45,2343.56,0.28,2128.66
(Lag Only),ARIMA (Lag Only),46,9090.46,0.5,6936.63
(Lag Only),ARIMA (Lag Only),47,29971.95,4.13,29643.12
(Lag Only),ARIMA (Lag Only),48,3044.89,0.3,2331.83
(Lag Only),ARIMA (Lag Only),49,5537.4,0.44,5083.2
(Lag Only),ARIMA (Lag Only),50,15997.08,0.41,11248.27
(Lag Only),ARIMA (Lag Only),51,26545.76,3.07,26506.64
(Lag Only),ARIMA (Lag Only),52,7005.07,0.44,5952.44
(Lag Only),ARIMA (Lag Only),53,4923.54,0.3,4458.81
(Lag Only),ARIMA (Lag Only),54,12668.56,0.41,9801.76
(Lag Only),ARIMA (Lag Only),55,8630.5,0.54,7652.19
(Lag Only),ARIMA (Lag Only),56,4420.41,0.19,3390.13
(Lag Only),ARIMA (Lag Only),57,2518.73,0.13,2068.04
(Lag Only),ARIMA (Lag Only),58,7143.59,0.27,5442.17
(Lag Only),ARIMA (Lag Only),59,5189.78,0.21,4409.58
(Lag Only),ARIMA (Lag Only),60,5837.08,0.21,5053.11
(Lag Only),ARIMA (Lag Only),61,3199.24,0.11,2826.1
(Lag Only),ARIMA (Lag Only),62,1763.57,0.07,1599.69
(Lag Only),ARIMA (Lag Only),63,6099.92,0.17,4738.06
(Lag Only),ARIMA (Lag Only),64,2214.57,0.07,1941.46
(Lag Only),ARIMA (Lag Only),65,3091.59,0.09,2452.78
(Lag Only),ARIMA (Lag Only),66,9324.91,0.22,7964.66
Keywords + Lag,Linear Regression,1,568.68,1.75,521.61
Keywords + Lag,Linear Regression,2,97.95,0.35,92.41
Keywords + Lag,Linear Regression,3,78.69,0.34,67.69
Keywords + Lag,Linear Regression,4,94.57,0.19,84.63
Keywords + Lag,Linear Regression,5,20.13,0.04,19.86
Keywords + Lag,Linear Regression,6,51.84,0.14,50.21
Keywords + Lag,Linear Regression,7,73.06,0.21,67.53
Keywords + Lag,Linear Regression,8,135.05,0.13,103.82
Keywords + Lag,Linear Regression,9,183.3,0.23,166.28
Keywords + Lag,Linear Regression,10,91.06,0.26,65.4
Keywords + Lag,Linear Regression,11,163.82,0.28,135.45
Keywords + Lag,Linear Regression,12,181.65,0.18,151.72
Keywords + Lag,Linear Regression,13,125.03,0.12,98.27
Keywords + Lag,Linear Regression,14,241.98,0.36,240.64
Keywords + Lag,Linear Regression,15,239.68,0.36,227.14
Keywords + Lag,Linear Regression,16,75.63,0.08,70.22
Keywords + Lag,Linear Regression,17,380.07,0.45,329.49
Keywords + Lag,Linear Regression,18,228.61,0.41,226.38
Keywords + Lag,Linear Regression,19,294.4,0.57,290.48
Keywords + Lag,Linear Regression,20,167.78,0.18,150.96
Keywords + Lag,Linear Regression,21,97.69,0.1,93.74
Keywords + Lag,Linear Regression,22,402.19,0.31,360.64
Keywords + Lag,Linear Regression,23,837.03,1.24,774.66
Keywords + Lag,Linear Regression,24,480.4,0.33,440.83
Keywords + Lag,Linear Regression,25,231.83,0.09,139.54
Keywords + Lag,Linear Regression,26,453.08,0.16,294.69
Keywords + Lag,Linear Regression,27,71.09,0.06,70.3
Keywords + Lag,Linear Regression,28,171.66,0.12,165.08
Keywords + Lag,Linear Regression,29,143.85,0.09,129.01
Keywords + Lag,Linear Regression,30,231.05,0.17,190.82
Keywords + Lag,Linear Regression,31,443.36,0.35,381.01
Keywords + Lag,Linear Regression,32,110.06,0.07,108.61
Keywords + Lag,Linear Regression,33,200.75,0.1,158.53
Keywords + Lag,Linear Regression,34,102.87,0.07,83.64
Keywords + Lag,Linear Regression,35,223.09,0.1,170.25
Keywords + Lag,Linear Regression,36,324.82,0.14,289.44
Keywords + Lag,Linear Regression,37,272.0,0.11,243.36
Keywords + Lag,Linear Regression,38,903.21,0.21,708.48
Keywords + Lag,Linear Regression,39,204.79,0.06,168.24
Keywords + Lag,Linear Regression,40,466.69,0.11,364.92
Keywords + Lag,Linear Regression,41,338.7,0.09,327.03
Keywords + Lag,Linear Regression,42,1241.02,0.16,1021.04
Keywords + Lag,Linear Regression,43,1357.99,0.23,1106.95
Keywords + Lag,Linear Regression,44,959.89,0.11,747.06
Keywords + Lag,Linear Regression,45,2159.74,0.2,1711.68
Keywords + Lag,Linear Regression,46,8695.23,0.38,6461.48
Keywords + Lag,Linear Regression,47,17289.5,1.7,12861.38
Keywords + Lag,Linear Regression,48,16621.15,2.47,16362.16
Keywords + Lag,Linear Regression,49,3056.33,0.25,2819.15
Keywords + Lag,Linear Regression,50,14521.4,0.42,10695.7
Keywords + Lag,Linear Regression,51,10544.81,1.1,9894.24
Keywords + Lag,Linear Regression,52,1532.32,0.1,1328.35
Keywords + Lag,Linear Regression,53,1535.33,0.09,1300.42
Keywords + Lag,Linear Regression,54,7359.3,0.19,4861.66
Keywords + Lag,Linear Regression,55,8122.53,0.5,7934.78
Keywords + Lag,Linear Regression,56,1431.99,0.07,1196.06
Keywords + Lag,Linear Regression,57,2002.33,0.09,1556.56
Keywords + Lag,Linear Regression,58,3720.14,0.1,2262.31
Keywords + Lag,Linear Regression,59,5355.44,0.18,3964.91
Keywords + Lag,Linear Regression,60,4928.26,0.17,4203.82
Keywords + Lag,Linear Regression,61,4356.18,0.12,3262.78
Keywords + Lag,Linear Regression,62,2232.35,0.08,1957.96
Keywords + Lag,Linear Regression,63,4407.86,0.12,3236.65
Keywords + Lag,Linear Regression,64,1958.86,0.07,1747.21
Keywords + Lag,Linear Regression,65,1315.13,0.04,1108.84
Keywords + Lag,Linear Regression,66,5721.75,0.15,5286.41
Keywords + Lag,XGBoost,1,60.19,0.16,42.61
Keywords + Lag,XGBoost,2,64.66,0.22,57.11
Keywords + Lag,XGBoost,3,89.75,0.41,86.03
Keywords + Lag,XGBoost,4,182.31,0.36,171.33
Keywords + Lag,XGBoost,5,53.49,0.08,42.11
Keywords + Lag,XGBoost,6,147.38,0.39,129.56
Keywords + Lag,XGBoost,7,97.68,0.3,93.24
Keywords + Lag,XGBoost,8,268.16,0.35,260.38
Keywords + Lag,XGBoost,9,207.56,0.21,165.02
