Features,Model,Forecasting window,RMSE,MAPE,MAE
Bijtelling + Lag,Linear Regression,60,3691.23,0.12,3040.3
Bijtelling + Lag,Linear Regression,61,3944.58,0.12,3053.26
Bijtelling + Lag,Linear Regression,62,3056.28,0.12,2808.83
Bijtelling + Lag,Linear Regression,63,3439.54,0.1,2722.86
Bijtelling + Lag,Linear Regression,64,1236.73,0.04,959.92
Bijtelling + Lag,Linear Regression,65,1694.26,0.06,1449.2
Bijtelling + Lag,Linear Regression,66,5192.08,0.14,4791.6
Bijtelling + Lag,XGBoost,1,60.19,0.16,42.61
Bijtelling + Lag,XGBoost,2,64.66,0.22,57.11
Bijtelling + Lag,XGBoost,3,89.75,0.41,86.03
Bijtelling + Lag,XGBoost,4,182.31,0.36,171.33
Bijtelling + Lag,XGBoost,5,53.4,0.08,42.06
Bijtelling + Lag,XGBoost,6,149.4,0.4,132.93
Bijtelling + Lag,XGBoost,7,104.64,0.32,104.18
Bijtelling + Lag,XGBoost,8,272.78,0.35,264.29
Bijtelling + Lag,XGBoost,9,230.6,0.27,196.28
Bijtelling + Lag,XGBoost,10,144.39,0.38,131.2
Bijtelling + Lag,XGBoost,11,83.39,0.18,77.57
Bijtelling + Lag,XGBoost,12,85.04,0.09,78.28
Bijtelling + Lag,XGBoost,13,116.8,0.12,90.86
Bijtelling + Lag,XGBoost,14,157.38,0.2,139.66
Bijtelling + Lag,XGBoost,15,273.47,0.33,228.91
Bijtelling + Lag,XGBoost,16,346.99,0.36,340.9
Bijtelling + Lag,XGBoost,17,178.7,0.19,155.88
Bijtelling + Lag,XGBoost,18,114.48,0.17,98.41
Bijtelling + Lag,XGBoost,19,205.51,0.31,150.32
Bijtelling + Lag,XGBoost,20,152.88,0.18,147.19
Bijtelling + Lag,XGBoost,21,77.52,0.06,56.8
Bijtelling + Lag,XGBoost,22,677.57,0.38,523.6
Bijtelling + Lag,XGBoost,23,699.7,0.81,572.75
Bijtelling + Lag,XGBoost,24,269.67,0.14,188.47
Bijtelling + Lag,XGBoost,25,257.67,0.16,221.0
Bijtelling + Lag,XGBoost,26,585.83,0.33,506.72
Bijtelling + Lag,XGBoost,27,377.47,0.28,340.71
Bijtelling + Lag,XGBoost,28,303.4,0.19,256.67
Bijtelling + Lag,XGBoost,29,163.62,0.11,146.87
Bijtelling + Lag,XGBoost,30,268.05,0.18,228.87
Bijtelling + Lag,XGBoost,31,351.24,0.28,305.87
Bijtelling + Lag,XGBoost,32,299.11,0.17,276.77
Bijtelling + Lag,XGBoost,33,226.49,0.13,201.12
Bijtelling + Lag,XGBoost,34,119.81,0.09,119.53
Bijtelling + Lag,XGBoost,35,304.11,0.18,291.54
Bijtelling + Lag,XGBoost,36,531.36,0.23,479.57
Bijtelling + Lag,XGBoost,37,345.92,0.14,320.74
Bijtelling + Lag,XGBoost,38,902.36,0.18,642.99
Bijtelling + Lag,XGBoost,39,745.77,0.2,614.64
Bijtelling + Lag,XGBoost,40,493.5,0.09,357.72
Bijtelling + Lag,XGBoost,41,837.88,0.15,654.95
Bijtelling + Lag,XGBoost,42,2269.55,0.29,1873.31
Bijtelling + Lag,XGBoost,43,2129.45,0.31,1817.36
Bijtelling + Lag,XGBoost,44,992.89,0.12,769.09
Bijtelling + Lag,XGBoost,45,2562.07,0.2,1819.81
Bijtelling + Lag,XGBoost,46,9681.88,0.37,6991.22
Bijtelling + Lag,XGBoost,47,9080.86,0.77,5925.27
Bijtelling + Lag,XGBoost,48,1478.79,0.22,1467.96
Bijtelling + Lag,XGBoost,49,1890.52,0.16,1758.78
Bijtelling + Lag,XGBoost,50,6430.94,0.23,5242.9
Bijtelling + Lag,XGBoost,51,6618.18,0.55,4624.2
Bijtelling + Lag,XGBoost,52,2903.51,0.2,2627.11
Bijtelling + Lag,XGBoost,53,2495.04,0.14,2027.71
Bijtelling + Lag,XGBoost,54,919.19,0.04,804.53
Bijtelling + Lag,XGBoost,55,5527.0,0.28,4760.99
Bijtelling + Lag,XGBoost,56,1208.81,0.06,1083.71
Bijtelling + Lag,XGBoost,57,2152.12,0.13,2107.99
Bijtelling + Lag,XGBoost,58,4521.02,0.21,3899.7
Bijtelling + Lag,XGBoost,59,4635.98,0.13,2941.91
Bijtelling + Lag,XGBoost,60,2792.21,0.11,2379.97
Bijtelling + Lag,XGBoost,61,3779.42,0.11,3003.38
Bijtelling + Lag,XGBoost,62,2782.84,0.11,2487.23
Bijtelling + Lag,XGBoost,63,2795.51,0.09,2277.33
Bijtelling + Lag,XGBoost,64,2135.5,0.06,1734.87
Bijtelling + Lag,XGBoost,65,2689.1,0.06,1632.76
Bijtelling + Lag,XGBoost,66,12505.56,0.32,11423.36
Bijtelling + Lag,ARIMAX,1,367.15,1.14,342.69
Bijtelling + Lag,ARIMAX,2,459.06,1.73,453.16
Bijtelling + Lag,ARIMAX,3,246.3,1.05,242.09
Bijtelling + Lag,ARIMAX,4,146.21,0.26,122.66
Bijtelling + Lag,ARIMAX,5,142.28,0.27,139.96
Bijtelling + Lag,ARIMAX,6,25.98,0.07,25.07
Bijtelling + Lag,ARIMAX,7,74.36,0.19,69.71
Bijtelling + Lag,ARIMAX,8,274.76,0.36,261.35
Bijtelling + Lag,ARIMAX,9,384.81,0.56,349.99
Bijtelling + Lag,ARIMAX,10,253.18,0.79,251.81
Bijtelling + Lag,ARIMAX,11,131.53,0.17,99.95
Bijtelling + Lag,ARIMAX,12,123.61,0.13,111.6
Bijtelling + Lag,ARIMAX,13,114.63,0.1,77.85
Bijtelling + Lag,ARIMAX,14,232.04,0.34,192.74
Bijtelling + Lag,ARIMAX,15,395.45,0.34,280.63
Bijtelling + Lag,ARIMAX,16,189.81,0.19,179.42
Bijtelling + Lag,ARIMAX,17,366.09,0.44,353.47
Bijtelling + Lag,ARIMAX,18,35.53,0.06,31.72
Bijtelling + Lag,ARIMAX,19,60.01,0.11,51.19
Bijtelling + Lag,ARIMAX,20,47.67,0.05,42.05
Bijtelling + Lag,ARIMAX,21,96.79,0.07,71.04
Bijtelling + Lag,ARIMAX,22,458.23,0.33,407.33
Bijtelling + Lag,ARIMAX,23,653.23,0.89,584.6
Bijtelling + Lag,ARIMAX,24,555.38,0.38,476.49
Bijtelling + Lag,ARIMAX,25,216.42,0.12,166.97
Bijtelling + Lag,ARIMAX,26,470.98,0.17,310.43
Bijtelling + Lag,ARIMAX,27,288.58,0.16,207.7
Bijtelling + Lag,ARIMAX,28,123.03,0.08,110.22
Bijtelling + Lag,ARIMAX,29,72.13,0.05,71.05
Bijtelling + Lag,ARIMAX,30,112.98,0.09,109.34
Bijtelling + Lag,ARIMAX,31,339.69,0.3,329.44
Bijtelling + Lag,ARIMAX,32,118.36,0.06,92.05
Bijtelling + Lag,ARIMAX,33,156.15,0.1,152.13
Bijtelling + Lag,ARIMAX,34,132.51,0.08,114.47
Bijtelling + Lag,ARIMAX,35,256.62,0.11,193.77
Bijtelling + Lag,ARIMAX,36,358.16,0.14,274.54
Bijtelling + Lag,ARIMAX,37,269.81,0.12,261.58
Bijtelling + Lag,ARIMAX,38,708.08,0.18,570.65
Bijtelling + Lag,ARIMAX,39,311.65,0.09,245.07
Bijtelling + Lag,ARIMAX,40,370.99,0.09,292.05
Bijtelling + Lag,ARIMAX,41,362.9,0.09,355.38
Bijtelling + Lag,ARIMAX,42,1183.99,0.14,946.56
Bijtelling + Lag,ARIMAX,43,1524.78,0.28,1398.03
Bijtelling + Lag,ARIMAX,44,1260.75,0.17,1081.8
Bijtelling + Lag,ARIMAX,45,1893.03,0.18,1508.2
Bijtelling + Lag,ARIMAX,46,9518.71,0.39,6849.62
Bijtelling + Lag,ARIMAX,47,18824.99,1.98,14819.77
Bijtelling + Lag,ARIMAX,48,20185.95,3.06,20042.9
Bijtelling + Lag,ARIMAX,49,2633.68,0.22,2478.26
Bijtelling + Lag,ARIMAX,50,12235.43,0.32,8593.74
Bijtelling + Lag,ARIMAX,51,11643.96,1.16,10443.13
Bijtelling + Lag,ARIMAX,52,1409.84,0.11,1349.83
Bijtelling + Lag,ARIMAX,53,1924.47,0.12,1680.55
Bijtelling + Lag,ARIMAX,54,6764.0,0.16,4320.25
Bijtelling + Lag,ARIMAX,55,2964.22,0.19,2722.96
Bijtelling + Lag,ARIMAX,56,1140.65,0.06,1038.6
Bijtelling + Lag,ARIMAX,57,2498.35,0.13,2035.23
Bijtelling + Lag,ARIMAX,58,3025.14,0.16,2923.9
Bijtelling + Lag,ARIMAX,59,3986.88,0.12,2724.27
Bijtelling + Lag,ARIMAX,60,3290.9,0.11,2750.39
Bijtelling + Lag,ARIMAX,61,4036.08,0.13,3233.08
Bijtelling + Lag,ARIMAX,62,3649.43,0.14,3380.82
Bijtelling + Lag,ARIMAX,63,3236.42,0.09,2453.08
Bijtelling + Lag,ARIMAX,64,994.7,0.03,695.2
Bijtelling + Lag,ARIMAX,65,1946.64,0.07,1682.69
Bijtelling + Lag,ARIMAX,66,4161.39,0.11,3758.65
Confidence + Lag,Linear Regression,1,451.68,1.36,408.49
Confidence + Lag,Linear Regression,2,325.59,1.23,287.15
Confidence + Lag,Linear Regression,3,154.66,0.71,153.0
Confidence + Lag,Linear Regression,4,421.38,0.81,388.0
Confidence + Lag,Linear Regression,5,215.94,0.41,208.47
Confidence + Lag,Linear Regression,6,207.29,0.49,150.94
Confidence + Lag,Linear Regression,7,149.31,0.3,122.35
Confidence + Lag,Linear Regression,8,113.91,0.13,95.61
Confidence + Lag,Linear Regression,9,151.56,0.22,149.1
Confidence + Lag,Linear Regression,10,99.79,0.32,86.79
Confidence + Lag,Linear Regression,11,181.97,0.32,154.17
Confidence + Lag,Linear Regression,12,166.96,0.16,136.0
Confidence + Lag,Linear Regression,13,128.19,0.12,98.02
Confidence + Lag,Linear Regression,14,228.7,0.33,224.98
Confidence + Lag,Linear Regression,15,225.47,0.28,194.39
Confidence + Lag,Linear Regression,16,101.01,0.1,96.44
Confidence + Lag,Linear Regression,17,201.22,0.16,122.45
Confidence + Lag,Linear Regression,18,210.38,0.38,203.25
Confidence + Lag,Linear Regression,19,248.18,0.48,243.42
Confidence + Lag,Linear Regression,20,60.76,0.07,57.9
Confidence + Lag,Linear Regression,21,86.55,0.09,84.6
Confidence + Lag,Linear Regression,22,432.08,0.32,387.64
Confidence + Lag,Linear Regression,23,680.64,1.03,581.05
Confidence + Lag,Linear Regression,24,238.76,0.17,221.36
Confidence + Lag,Linear Regression,25,287.28,0.21,273.87
Confidence + Lag,Linear Regression,26,405.6,0.2,321.48
Confidence + Lag,Linear Regression,27,160.3,0.13,156.71
Confidence + Lag,Linear Regression,28,106.38,0.07,98.76
Confidence + Lag,Linear Regression,29,264.23,0.19,254.38
Confidence + Lag,Linear Regression,30,402.37,0.34,398.45
Confidence + Lag,Linear Regression,31,314.54,0.25,244.16
Confidence + Lag,Linear Regression,32,68.11,0.04,61.83
Confidence + Lag,Linear Regression,33,192.23,0.12,175.87
Confidence + Lag,Linear Regression,34,207.99,0.15,189.95
Confidence + Lag,Linear Regression,35,226.42,0.12,197.49
Confidence + Lag,Linear Regression,36,323.56,0.15,295.43
Confidence + Lag,Linear Regression,37,409.6,0.16,376.64
Confidence + Lag,Linear Regression,38,1072.86,0.25,831.48
Confidence + Lag,Linear Regression,39,174.38,0.06,165.06
Confidence + Lag,Linear Regression,40,587.0,0.14,496.68
Confidence + Lag,Linear Regression,41,398.37,0.09,379.01
Confidence + Lag,Linear Regression,42,1530.76,0.17,1165.96
Confidence + Lag,Linear Regression,43,1527.84,0.27,1312.68
Confidence + Lag,Linear Regression,44,1432.17,0.19,1222.75
Confidence + Lag,Linear Regression,45,2220.93,0.21,1786.28
Confidence + Lag,Linear Regression,46,8597.05,0.42,6731.07
Confidence + Lag,Linear Regression,47,18647.75,1.99,14869.41
Confidence + Lag,Linear Regression,48,19963.03,2.92,19704.1
Confidence + Lag,Linear Regression,49,3517.67,0.31,3414.05
Confidence + Lag,Linear Regression,50,12702.86,0.32,8823.33
Confidence + Lag,Linear Regression,51,11768.46,1.25,11106.64
Confidence + Lag,Linear Regression,52,2189.86,0.18,2106.11
Confidence + Lag,Linear Regression,53,2517.37,0.17,2441.9
Confidence + Lag,Linear Regression,54,8521.7,0.26,6345.82
Confidence + Lag,Linear Regression,55,2021.19,0.13,1882.3
Confidence + Lag,Linear Regression,56,985.07,0.05,757.89
Confidence + Lag,Linear Regression,57,1931.01,0.09,1531.83
Confidence + Lag,Linear Regression,58,3265.71,0.15,2878.0
Confidence + Lag,Linear Regression,59,4229.83,0.15,3182.04
Confidence + Lag,Linear Regression,60,3677.81,0.12,3033.14
Confidence + Lag,Linear Regression,61,3860.51,0.11,2983.2
Confidence + Lag,Linear Regression,62,2379.63,0.09,2129.03
Confidence + Lag,Linear Regression,63,3530.59,0.1,2830.5
Confidence + Lag,Linear Regression,64,1148.42,0.03,858.2
Confidence + Lag,Linear Regression,65,1707.83,0.06,1448.18
Confidence + Lag,Linear Regression,66,6572.12,0.18,6175.74
Confidence + Lag,XGBoost,1,58.66,0.14,37.67
Confidence + Lag,XGBoost,2,64.18,0.22,56.71
Confidence + Lag,XGBoost,3,91.46,0.42,87.9
Confidence + Lag,XGBoost,4,190.46,0.38,181.07
Confidence + Lag,XGBoost,5,55.87,0.08,43.6
Confidence + Lag,XGBoost,6,151.03,0.4,134.19
Confidence + Lag,XGBoost,7,97.81,0.3,96.63
Confidence + Lag,XGBoost,8,265.43,0.34,257.53
Confidence + Lag,XGBoost,9,235.1,0.28,201.72
Confidence + Lag,XGBoost,10,204.21,0.5,168.15
Confidence + Lag,XGBoost,11,115.63,0.23,106.06
Confidence + Lag,XGBoost,12,181.09,0.2,180.81
Confidence + Lag,XGBoost,13,156.88,0.18,144.22
Confidence + Lag,XGBoost,14,144.33,0.21,132.91
Confidence + Lag,XGBoost,15,236.44,0.27,194.07
Confidence + Lag,XGBoost,16,276.83,0.29,276.26
Confidence + Lag,XGBoost,17,122.21,0.14,112.73
Confidence + Lag,XGBoost,18,156.57,0.28,150.57
Confidence + Lag,XGBoost,19,193.53,0.3,142.44
Confidence + Lag,XGBoost,20,122.29,0.13,106.32
Confidence + Lag,XGBoost,21,96.18,0.07,68.27
Confidence + Lag,XGBoost,22,673.72,0.38,521.93
Confidence + Lag,XGBoost,23,671.08,0.81,551.54
Confidence + Lag,XGBoost,24,367.34,0.21,284.89
Confidence + Lag,XGBoost,25,212.39,0.12,167.77
Confidence + Lag,XGBoost,26,610.41,0.34,524.51
Confidence + Lag,XGBoost,27,372.24,0.29,341.25
Confidence + Lag,XGBoost,28,161.74,0.09,131.92
Confidence + Lag,XGBoost,29,217.46,0.14,186.5
Confidence + Lag,XGBoost,30,209.78,0.17,203.87
Confidence + Lag,XGBoost,31,271.53,0.19,236.31
Confidence + Lag,XGBoost,32,312.64,0.18,292.09
Confidence + Lag,XGBoost,33,341.9,0.14,238.51
Confidence + Lag,XGBoost,34,254.54,0.14,208.82
Confidence + Lag,XGBoost,35,332.08,0.2,318.66
Confidence + Lag,XGBoost,36,583.82,0.23,500.77
Confidence + Lag,XGBoost,37,758.31,0.34,752.98
Confidence + Lag,XGBoost,38,899.68,0.18,641.45
Confidence + Lag,XGBoost,39,665.0,0.19,577.48
Confidence + Lag,XGBoost,40,977.61,0.2,766.02
Confidence + Lag,XGBoost,41,1977.19,0.45,1881.65
Confidence + Lag,XGBoost,42,2262.6,0.29,1862.91
Confidence + Lag,XGBoost,43,2249.68,0.33,1914.28
Confidence + Lag,XGBoost,44,825.69,0.1,660.79
Confidence + Lag,XGBoost,45,2560.35,0.2,1822.11
Confidence + Lag,XGBoost,46,9663.23,0.4,7191.19
Confidence + Lag,XGBoost,47,9099.35,0.8,6150.82
Confidence + Lag,XGBoost,48,1477.49,0.22,1457.57
Confidence + Lag,XGBoost,49,1205.47,0.1,1093.03
Confidence + Lag,XGBoost,50,6135.3,0.15,4204.32
Confidence + Lag,XGBoost,51,6082.83,0.52,4428.68
Confidence + Lag,XGBoost,52,2063.32,0.16,1916.96
Confidence + Lag,XGBoost,53,2896.71,0.18,2667.58
Confidence + Lag,XGBoost,54,4364.28,0.19,3913.36
Confidence + Lag,XGBoost,55,3118.62,0.21,2973.57
Confidence + Lag,XGBoost,56,1695.66,0.07,1319.8
Confidence + Lag,XGBoost,57,1701.43,0.1,1629.33
Confidence + Lag,XGBoost,58,5648.78,0.27,4996.12
Confidence + Lag,XGBoost,59,4473.55,0.11,2725.51
Confidence + Lag,XGBoost,60,3223.12,0.12,2656.36
Confidence + Lag,XGBoost,61,4158.68,0.13,3294.25
Confidence + Lag,XGBoost,62,3488.35,0.13,3058.24
Confidence + Lag,XGBoost,63,5830.67,0.19,4954.21
Confidence + Lag,XGBoost,64,4594.19,0.15,4012.55
Confidence + Lag,XGBoost,65,1869.38,0.04,1185.76
Confidence + Lag,XGBoost,66,10723.93,0.29,10064.12
Confidence + Lag,ARIMAX,1,450.19,1.35,407.02
Confidence + Lag,ARIMAX,2,360.88,1.33,314.13
Confidence + Lag,ARIMAX,3,129.52,0.59,120.25
Confidence + Lag,ARIMAX,4,333.49,0.64,306.54
Confidence + Lag,ARIMAX,5,90.35,0.15,75.5
Confidence + Lag,ARIMAX,6,34.1,0.05,21.82
Confidence + Lag,ARIMAX,7,298.65,0.72,271.31
Confidence + Lag,ARIMAX,8,313.1,0.4,295.3
Confidence + Lag,ARIMAX,9,456.05,0.7,447.59
Confidence + Lag,ARIMAX,10,225.56,0.71,224.43
Confidence + Lag,ARIMAX,11,117.32,0.18,99.52
Confidence + Lag,ARIMAX,12,144.65,0.13,115.79
Confidence + Lag,ARIMAX,13,111.67,0.1,81.7
Confidence + Lag,ARIMAX,14,236.37,0.37,232.33
Confidence + Lag,ARIMAX,15,283.02,0.31,225.48
Confidence + Lag,ARIMAX,16,132.79,0.11,108.75
Confidence + Lag,ARIMAX,17,228.32,0.26,198.44
Confidence + Lag,ARIMAX,18,141.52,0.26,140.49
Confidence + Lag,ARIMAX,19,226.94,0.43,215.91
Confidence + Lag,ARIMAX,20,34.42,0.03,30.08
Confidence + Lag,ARIMAX,21,78.09,0.08,71.05
Confidence + Lag,ARIMAX,22,516.0,0.39,471.27
Confidence + Lag,ARIMAX,23,704.37,0.87,596.18
Confidence + Lag,ARIMAX,24,562.1,0.4,509.59
Confidence + Lag,ARIMAX,25,230.22,0.12,177.55
Confidence + Lag,ARIMAX,26,482.7,0.18,318.22
Confidence + Lag,ARIMAX,27,290.99,0.19,237.93
Confidence + Lag,ARIMAX,28,173.16,0.11,157.16
Confidence + Lag,ARIMAX,29,57.6,0.04,56.87
Confidence + Lag,ARIMAX,30,124.05,0.1,123.83
Confidence + Lag,ARIMAX,31,359.38,0.3,358.72
Confidence + Lag,ARIMAX,32,165.54,0.09,131.28
Confidence + Lag,ARIMAX,33,167.29,0.11,160.6
Confidence + Lag,ARIMAX,34,115.84,0.06,95.75
Confidence + Lag,ARIMAX,35,246.09,0.11,198.8
Confidence + Lag,ARIMAX,36,354.67,0.12,247.21
Confidence + Lag,ARIMAX,37,306.19,0.13,287.09
Confidence + Lag,ARIMAX,38,726.23,0.18,582.53
Confidence + Lag,ARIMAX,39,308.82,0.09,244.22
Confidence + Lag,ARIMAX,40,393.81,0.09,313.53
Confidence + Lag,ARIMAX,41,371.19,0.09,362.5
Confidence + Lag,ARIMAX,42,1267.79,0.15,998.27
Confidence + Lag,ARIMAX,43,1646.73,0.31,1518.92
Confidence + Lag,ARIMAX,44,1273.91,0.17,1085.86
Confidence + Lag,ARIMAX,45,1976.98,0.19,1570.8
Confidence + Lag,ARIMAX,46,9494.51,0.39,6837.27
Confidence + Lag,ARIMAX,47,18755.73,2.02,15111.22
Confidence + Lag,ARIMAX,48,19671.67,2.99,19665.78
Confidence + Lag,ARIMAX,49,3495.16,0.3,3389.68
Confidence + Lag,ARIMAX,50,12264.72,0.34,8883.36
Confidence + Lag,ARIMAX,51,13897.12,1.54,13620.85
Confidence + Lag,ARIMAX,52,1457.62,0.12,1420.08
Confidence + Lag,ARIMAX,53,2920.02,0.18,2649.59
Confidence + Lag,ARIMAX,54,7254.93,0.18,4757.05
Confidence + Lag,ARIMAX,55,2975.7,0.18,2469.36
Confidence + Lag,ARIMAX,56,1279.92,0.06,1101.08
Confidence + Lag,ARIMAX,57,2257.56,0.11,1773.38
Confidence + Lag,ARIMAX,58,3342.07,0.17,3082.51
Confidence + Lag,ARIMAX,59,4394.29,0.15,3317.46
Confidence + Lag,ARIMAX,60,3314.31,0.11,2761.61
Confidence + Lag,ARIMAX,61,3876.77,0.13,3347.48
Confidence + Lag,ARIMAX,62,3788.19,0.15,3616.75
Confidence + Lag,ARIMAX,63,2973.59,0.09,2411.64
Confidence + Lag,ARIMAX,64,807.02,0.03,755.82
Confidence + Lag,ARIMAX,65,2365.13,0.08,1922.4
Confidence + Lag,ARIMAX,66,4977.24,0.13,4598.54
Fuel + Lag,Linear Regression,1,351.65,1.09,325.13
Fuel + Lag,Linear Regression,2,437.44,1.75,424.69
Fuel + Lag,Linear Regression,3,602.43,2.47,583.47
Fuel + Lag,Linear Regression,4,126.24,0.26,117.58
Fuel + Lag,Linear Regression,5,273.09,0.48,256.1
Fuel + Lag,Linear Regression,6,104.1,0.28,91.71
Fuel + Lag,Linear Regression,7,131.65,0.4,129.17
Fuel + Lag,Linear Regression,8,114.75,0.14,103.46
Fuel + Lag,Linear Regression,9,155.19,0.19,140.11
Fuel + Lag,Linear Regression,10,152.44,0.46,131.73
Fuel + Lag,Linear Regression,11,197.09,0.33,162.86
Fuel + Lag,Linear Regression,12,187.51,0.19,161.93
Fuel + Lag,Linear Regression,13,118.18,0.12,93.44
Fuel + Lag,Linear Regression,14,236.83,0.29,211.69
Fuel + Lag,Linear Regression,15,321.07,0.34,251.86
Fuel + Lag,Linear Regression,16,90.87,0.08,78.53
Fuel + Lag,Linear Regression,17,218.93,0.21,158.8
Fuel + Lag,Linear Regression,18,315.35,0.57,312.61
Fuel + Lag,Linear Regression,19,318.01,0.61,314.26
Fuel + Lag,Linear Regression,20,93.6,0.11,93.46
Fuel + Lag,Linear Regression,21,77.11,0.08,76.98
Fuel + Lag,Linear Regression,22,519.94,0.38,464.11
Fuel + Lag,Linear Regression,23,655.21,0.9,597.68
Fuel + Lag,Linear Regression,24,471.67,0.32,422.43
Fuel + Lag,Linear Regression,25,227.44,0.1,152.84
Fuel + Lag,Linear Regression,26,417.87,0.15,276.71
Fuel + Lag,Linear Regression,27,240.12,0.19,233.41
Fuel + Lag,Linear Regression,28,150.96,0.1,140.49
Fuel + Lag,Linear Regression,29,214.61,0.14,185.93
Fuel + Lag,Linear Regression,30,222.89,0.18,216.11
Fuel + Lag,Linear Regression,31,356.24,0.3,331.19
Fuel + Lag,Linear Regression,32,110.1,0.05,69.69
Fuel + Lag,Linear Regression,33,234.7,0.14,204.36
Fuel + Lag,Linear Regression,34,127.74,0.09,120.3
Fuel + Lag,Linear Regression,35,234.21,0.09,171.51
Fuel + Lag,Linear Regression,36,364.32,0.15,309.45
Fuel + Lag,Linear Regression,37,399.06,0.16,365.79
Fuel + Lag,Linear Regression,38,1000.86,0.23,770.5
Fuel + Lag,Linear Regression,39,330.76,0.1,274.21
Fuel + Lag,Linear Regression,40,388.99,0.09,294.11
Fuel + Lag,Linear Regression,41,375.62,0.09,366.36
Fuel + Lag,Linear Regression,42,1456.82,0.17,1132.52
Fuel + Lag,Linear Regression,43,1422.04,0.25,1188.82
Fuel + Lag,Linear Regression,44,1576.27,0.2,1288.33
Fuel + Lag,Linear Regression,45,2186.0,0.21,1753.81
Fuel + Lag,Linear Regression,46,8479.82,0.43,6728.72
Fuel + Lag,Linear Regression,47,19093.95,2.03,15213.18
Fuel + Lag,Linear Regression,48,20602.47,3.02,20377.17
Fuel + Lag,Linear Regression,49,3144.86,0.27,3037.26
Fuel + Lag,Linear Regression,50,12425.78,0.33,8758.61
Fuel + Lag,Linear Regression,51,13178.39,1.39,12456.55
Fuel + Lag,Linear Regression,52,769.95,0.06,656.61
Fuel + Lag,Linear Regression,53,2177.61,0.14,1999.8
Fuel + Lag,Linear Regression,54,7568.03,0.24,5755.48
Fuel + Lag,Linear Regression,55,4444.22,0.29,4425.08
Fuel + Lag,Linear Regression,56,935.5,0.05,789.86
Fuel + Lag,Linear Regression,57,1713.96,0.1,1667.94
Fuel + Lag,Linear Regression,58,2659.79,0.12,2211.12
Fuel + Lag,Linear Regression,59,3489.18,0.11,2417.11
Fuel + Lag,Linear Regression,60,3010.15,0.13,2920.37
Fuel + Lag,Linear Regression,61,3730.2,0.12,3085.67
Fuel + Lag,Linear Regression,62,3213.94,0.12,2775.86
Fuel + Lag,Linear Regression,63,3567.62,0.1,2623.5
Fuel + Lag,Linear Regression,64,1464.31,0.04,1095.99
Fuel + Lag,Linear Regression,65,1638.77,0.06,1393.19
Fuel + Lag,Linear Regression,66,4992.77,0.13,4648.23
Fuel + Lag,XGBoost,1,58.66,0.14,37.67
Fuel + Lag,XGBoost,2,68.31,0.23,59.76
Fuel + Lag,XGBoost,3,120.07,0.52,112.7
Fuel + Lag,XGBoost,4,226.6,0.46,218.61
Fuel + Lag,XGBoost,5,56.86,0.08,44.22
Fuel + Lag,XGBoost,6,145.44,0.38,125.83
Fuel + Lag,XGBoost,7,117.25,0.32,112.92
Fuel + Lag,XGBoost,8,350.02,0.47,345.56
Fuel + Lag,XGBoost,9,217.64,0.21,165.68
Fuel + Lag,XGBoost,10,99.41,0.28,97.01
Fuel + Lag,XGBoost,11,106.0,0.18,94.34
Fuel + Lag,XGBoost,12,62.49,0.05,47.74
Fuel + Lag,XGBoost,13,116.29,0.13,92.62
Fuel + Lag,XGBoost,14,168.64,0.23,128.0
Fuel + Lag,XGBoost,15,279.91,0.41,250.55
Fuel + Lag,XGBoost,16,32.36,0.03,28.37
Fuel + Lag,XGBoost,17,127.57,0.14,106.42
Fuel + Lag,XGBoost,18,306.1,0.54,292.75
Fuel + Lag,XGBoost,19,211.28,0.38,195.09
Fuel + Lag,XGBoost,20,143.92,0.16,132.23
Fuel + Lag,XGBoost,21,66.18,0.05,50.95
Fuel + Lag,XGBoost,22,684.68,0.43,564.42
Fuel + Lag,XGBoost,23,692.68,0.83,579.98
Fuel + Lag,XGBoost,24,269.47,0.13,176.75
Fuel + Lag,XGBoost,25,202.51,0.11,152.85
Fuel + Lag,XGBoost,26,799.92,0.36,601.31
Fuel + Lag,XGBoost,27,348.28,0.25,308.51
Fuel + Lag,XGBoost,28,330.06,0.2,274.26
Fuel + Lag,XGBoost,29,270.79,0.17,232.84
Fuel + Lag,XGBoost,30,275.01,0.19,238.77
Fuel + Lag,XGBoost,31,290.07,0.24,287.65
Fuel + Lag,XGBoost,32,362.1,0.23,359.25
Fuel + Lag,XGBoost,33,246.1,0.1,173.1
Fuel + Lag,XGBoost,34,145.64,0.1,133.75
Fuel + Lag,XGBoost,35,344.46,0.18,300.27
Fuel + Lag,XGBoost,36,644.12,0.29,591.65
Fuel + Lag,XGBoost,37,346.65,0.15,338.36
Fuel + Lag,XGBoost,38,905.24,0.19,653.63
Fuel + Lag,XGBoost,39,731.06,0.19,598.31
Fuel + Lag,XGBoost,40,476.8,0.09,342.43
Fuel + Lag,XGBoost,41,814.19,0.14,635.05
Fuel + Lag,XGBoost,42,2436.85,0.29,1927.15
Fuel + Lag,XGBoost,43,2158.66,0.31,1818.35
Fuel + Lag,XGBoost,44,929.49,0.13,834.86
Fuel + Lag,XGBoost,45,2449.68,0.25,2029.48
Fuel + Lag,XGBoost,46,9700.46,0.37,6993.8
Fuel + Lag,XGBoost,47,9081.72,0.79,6021.59
Fuel + Lag,XGBoost,48,1591.93,0.25,1533.59
Fuel + Lag,XGBoost,49,1726.63,0.11,1314.78
