Year-Month,Average Sentiment Score
2015/01,0.9400397837162018
2015/02,0.9423884401718775
2015/03,0.9315807399926362
2015/04,0.9498797953128815
2015/05,0.9267985463142395
2015/06,0.9645682601701646
2015/07,0.927002277225256
2015/08,0.9206623335679373
2015/09,0.9426362769944328
2015/10,0.9364156699180604
2015/11,0.9552836159001226
2015/12,0.9728796231119257
2016/01,0.8714200407266617
2016/02,0.9341524664093467
2016/03,0.9462581617491586
2016/04,0.9301140101059623
2016/05,0.8796517372131347
2016/06,0.9599226514498392
2016/07,0.9407094906676899
2016/08,0.9036927727552561
2016/09,0.9225484096642697
2016/10,0.9145232609340123
2016/11,0.9235936403274536
2016/12,0.9394934003551801
2017/01,0.9401312470436096
2017/02,0.8885515729586283
2017/03,0.9336635091088035
2017/04,0.9203119050888788
2017/05,0.9452540397644043
2017/06,0.9424137558255877
2017/07,0.9385539222331274
2017/08,0.90603340168794
2017/09,0.9578189542799285
2017/10,0.9386834762990475
2017/11,0.9162731661516077
2017/12,0.940285804371039
2018/01,0.9133023826972299
2018/02,0.957087514075366
2018/03,0.9148022323846817
2018/04,0.954383607568412
2018/05,0.9468463223714095
2018/06,0.9633085853175113
2018/07,0.9448905402705783
2018/08,0.9596384508269173
2018/09,0.9401425644755363
2018/10,0.9289579725847011
2018/11,0.9069890479246775
2018/12,0.9661345637979961
2019/01,0.9338626691273281
2019/02,0.974991606943535
2019/03,0.9353453743046728
2019/04,0.939466727407355
2019/05,0.9377663940191269
2019/06,0.9243338320936475
2019/07,0.9532925729398374
2019/08,0.9235569749559674
2019/09,0.9401304564977947
2019/10,0.9479311221354717
2019/11,0.9356516067470823
2019/12,0.9463953137397766
2020/01,0.9574841817220052
2020/02,0.8729974186938741
2020/03,0.971466326713562
2020/04,0.9731989204883575
2020/05,0.933085701862971
2020/06,0.9666132222522389
2020/07,0.9172112504641216
2020/08,0.9356680349870161
2020/09,0.9500450979579579
2020/10,0.9622079070125308
2020/11,0.9551497643644159
2020/12,0.9223272303740183
2021/01,0.9161685740246492
2021/02,0.9321550809103867
2021/03,0.9181665148999956
2021/04,0.9414113259315491
2021/05,0.9402254819869995
2021/06,0.9336771855228826
2021/07,0.9372190275499898
2021/08,0.9517521957556406
2021/09,0.9468365235531584
2021/10,0.9204724896244887
2021/11,0.9334403812885285
2021/12,0.9450765550136566
2022/01,0.9549821480627982
2022/02,0.914030331831712
2022/03,0.933905228972435
2022/04,0.9319206266789823
2022/05,0.9121680778005848
2022/06,0.9476741830507914
2022/07,0.9490277514313207
2022/08,0.9427184484623097
2022/09,0.9064312130212784
2022/10,0.9468553345650434
2022/11,0.951744210152399
2022/12,0.9094918012619019
2023/01,0.9256836557999636
2023/02,0.9412093417985099
2023/03,0.933992013335228
2023/04,0.9295259759976313
2023/05,0.9518623749415079
2023/06,0.9385735186246725
2023/07,0.9480196030772462
2023/08,0.9464123725891114
2023/09,0.9288212139098371
2023/10,0.9152402281761169
2023/11,0.9092456361032882
2023/12,0.9780714557721064
2024/01,0.9069343538119875
2024/02,0.9082325305789709
2024/03,0.9099469946490394
2024/04,0.9303820550441741
2024/05,0.9030908551067114
2024/06,0.9258294604920052
2024/07,0.9125236676019781
2024/08,0.9379966321744417
2024/09,0.9386402896859429
2024/10,0.9320808018629367
2024/11,0.9242810887448928
2024/12,0.9401889138105439
2025/01,0.9541564559449955
